longitude,latitude,altitude,time,tau_cirrus,tau_contrail,rf_sw,rf_lw,width,depth,segment_length,n_ice_per_m,r_ice_vol,location,RHi_era5,flight_level,month,seasonal_factor,RHi_pred,hour,rf_total
10.143,48.628,38839.0,2024-11-10 17:10:00,0.0,2.509,0.0,57.512,43.0,99.0,0.0,7208000000000.0,1.493e-06,Konstanz_Germany,0.9950427124909387,388.39,11,1,1.10404966896598,17,57.512
10.22,48.704,38839.0,2024-11-10 17:20:00,0.0,0.4653,0.0,11.264,115.0,101.0,0.0,7095000000000.0,1.226e-06,Konstanz_Germany,1.0651324531916226,388.39,11,1,1.10404966896598,17,11.264
10.296,48.781,38839.0,2024-11-10 17:30:00,0.0,0.2098,0.0,4.387,154.0,102.0,0.0,6986000000000.0,1.01e-06,Konstanz_Germany,1.0816845583076482,388.39,11,1,1.10404966896598,17,4.387
10.373,48.858,38839.0,2024-11-10 17:40:00,0.0,0.1657,0.0,2.721,180.0,104.0,0.0,6887000000000.0,7.72e-07,Konstanz_Germany,1.0348864236175035,388.39,11,1,1.10404966896598,17,2.721
10.449,48.935,38842.0,2024-11-10 17:50:00,0.0,0.0003,0.0,0.001,201.0,106.0,0.0,6792000000000.0,1.1e-07,Konstanz_Germany,1.1200140444395612,388.42,11,1,1.1045032306719629,17,0.001
10.545,49.03,38839.0,2024-11-10 18:00:00,0.0,1.7553,0.0,42.93,60.0,99.0,0.0,7271000000000.0,1.469e-06,Konstanz_Germany,1.0672230408230712,388.39,11,1,1.10404966896598,18,42.93
10.622,49.107,38839.0,2024-11-10 18:10:00,0.0,0.6914,0.0,17.455,107.0,101.0,0.0,7185000000000.0,1.327e-06,Konstanz_Germany,1.045979385253897,388.39,11,1,1.10404966896598,18,17.455
10.698,49.184,38842.0,2024-11-10 18:20:00,0.0,0.4113,0.0,10.065,136.0,103.0,0.0,7105000000000.0,1.237e-06,Konstanz_Germany,1.1367401772716745,388.42,11,1,1.1045032306719629,18,10.065
10.775,49.262,38842.0,2024-11-10 18:30:00,0.0,0.2931,0.0,6.93,156.0,105.0,0.0,7031000000000.0,1.176e-06,Konstanz_Germany,1.0859289423355851,388.42,11,1,1.1045032306719629,18,6.93
10.851,49.339,38845.0,2024-11-10 18:40:00,0.0,0.2334,0.0,5.339,169.0,107.0,0.0,6958000000000.0,1.129e-06,Konstanz_Germany,1.1273931376835586,388.45,11,1,1.1073165097719688,18,5.339
10.948,49.433,38839.0,2024-11-10 18:50:00,0.0,1.874,0.0,46.026,63.0,100.0,0.0,7453000000000.0,1.525e-06,Konstanz_Germany,1.1115121068958747,388.39,11,1,1.10404966896598,18,46.026
11.024,49.51,38839.0,2024-11-10 19:00:00,0.0,1.0946,0.0,28.221,96.0,102.0,0.0,7383000000000.0,1.459e-06,Konstanz_Germany,1.110130966397973,388.39,11,1,1.10404966896598,19,28.221
11.101,49.588,38842.0,2024-11-10 19:10:00,0.0,0.7773,0.0,20.155,121.0,104.0,0.0,7305000000000.0,1.41e-06,Konstanz_Germany,1.088653803758286,388.42,11,1,1.1045032306719629,19,20.155
11.179,49.666,38842.0,2024-11-10 19:20:00,0.0,0.5909,0.0,15.24,142.0,106.0,0.0,7260000000000.0,1.368e-06,Konstanz_Germany,1.1169507201087279,388.42,11,1,1.1045032306719629,19,15.24
11.261,49.746,34728.0,2024-11-10 19:30:00,0.0,1.4405,0.0,32.359,86.0,111.0,0.0,9406000000000.0,1.422e-06,Konstanz_Germany,1.0680271202522693,347.28,11,1,1.1094772628510448,19,32.359
11.304,49.788,34728.0,2024-11-10 19:40:00,0.0,0.0143,0.0,0.083,258.0,141.0,1520.0,10292000000000.0,2.82e-07,Konstanz_Germany,1.1642162187897378,347.28,11,1,1.1094772628510448,19,0.083
11.316,49.798,32657.0,2024-11-10 19:40:00,0.0,1.2624,0.0,28.012,60.0,140.0,0.0,4884000000000.0,1.51e-06,Konstanz_Germany,1.0458201009654122,326.57,11,1,1.0942223564563656,19,28.012
12.519,45.674,33615.0,2024-11-10 15:40:00,0.0,0.4255,0.0,7.02,138.0,119.0,2792.0,14045000000000.0,7.32e-07,Venice_Italy,1.0779450828963941,336.15,11,1,1.0991661492875617,15,7.02
12.553,45.682,34098.0,2024-11-10 15:40:00,0.0,4.5321,0.0,88.573,32.0,103.0,0.0,12451000000000.0,1.372e-06,Venice_Italy,1.1739348263651843,340.98,11,1,1.1005070954033105,15,88.573
