station_id,name,latitude,longitude,elevation,date_range
LGM00026406,LIEPAJA,56.483,21.017,7.0,1950 to 1992
LGM00026422,RIGA,56.917,23.967,3.0,1942 to 2005
LGM00026435,SKRIVERI,56.6425,25.1283,79.4,2006 to 2025
LHM00026629,KAUNAS,54.8839,23.8358,76.1,1947 to 2025
LOM00011934,POPRAD/TATRY,49.067,20.25,696.0,1952 to 1977
LOM00011952,POPRAD-GANOVCE,49.0333,20.3167,703.0,1977 to 2025
MDM00033815,KISINEV,47.017,28.867,170.0,1949 to 2002
MKM00013586,SKOPJE- AIRPORT,41.95,21.633,233.0,1973 to 2008
MOM00060101,TANGER (AERODROME),35.733,-5.9,19.0,1984 to 1987
MOM00060107,AL HOCEIMA,35.183,-3.85,14.0,1973 to 1979
MTM00016597,LUQA,35.85,14.483,91.0,1949 to 2000
NLM00006210,VALKENBURG,52.167,4.433,1.0,1994 to 2002
NLM00006235,DE KOOIJ VK,52.9269,4.7811,1.2,1921 to 2014
NLM00006242,VLIELAND,53.25,4.917,4.0,1977 to 2002
NLM00006260,DE BILT AWS,52.0989,5.1797,1.9,1911 to 2025
NOM00001010,ANDOYA,69.3153,16.1308,10.0,2014 to 2025
NOM00001030,TROMSO,69.7,19.02,12.0,1939 to 1959
NOM00001152,BODO VI,67.2669,14.3586,11.0,1942 to 2014
NOM00001241,ORLAND III,63.7056,9.6117,10.0,1959 to 2025
NOM00001384,OSLO/GARDERMOEN,60.2,11.083,201.0,1949 to 2001
NOM00001400,EKOFISK,56.5422,3.2236,52.0,1994 to 2025
NOM00001415,STAVANGER/SOLA,58.8742,5.665,37.0,1949 to 2025
NOM00001492,OSLO-BLINDERN,59.9428,10.7194,95.0,2001 to 2025
NOXUAC04176,BERGEN,60.38,5.33,36.0,1940 to 1942
NOXUAC04178,NARVIK,68.47,17.5,23.0,1940 to 1941
NOXUAE05479,KJELLER,59.97,11.03,106.0,1930 to 1944
PLM00012105,KOSZALIN,54.2,16.1833,34.0,1965 to 1971
PLM00012120,LEBA,54.7536,17.5347,1.8,1972 to 2025
PLM00012330,POZNAN,52.417,16.85,84.0,1959 to 1992
PLM00012374,LEGIONOWO,52.4078,20.9564,94.2,1956 to 2025
PLM00012375,WARSZAWA,52.18,20.97,65.0,1920 to 1956
PLM00012425,WROCLAW I,51.1131,16.8811,119.6,1956 to 2025
