station_id,latitude,longitude,elevation,name,lstyear
CHM00056778,25.0167,102.6833,1892.0,KUNMING,2025
CHM00056964,22.7667,100.9833,1303.0,SIMAO,2025
CHM00056985,23.4444,103.3278,1313.6,MENGZI,2025
CHM00057083,34.7167,113.65,111.0,ZHENGZHOU,2025
CHM00057127,33.0667,107.0333,509.0,HANZHONG,2025
CHM00057131,34.4333,108.9667,411.0,JINGHE,2025
CHM00057178,33.1,112.4833,181.6,NANYANG,2025
CHM00057245,32.7167,109.0333,291.0,ANKANG,2025
CHM00057461,30.7333,111.3667,257.7,YICHANG,2025
CHM00057494,30.6,114.05,24.0,WUHAN,2025
CHM00057516,29.6,106.4,541.1,CHONGQING,2025
CHM00057687,28.1086,112.7864,120.0,CHANGSHA,2025
CHM00057749,27.5667,110.0,261.0,HUAIHUA,2025
CHM00057816,26.4833,106.65,1223.0,GUIYANG,2025
CHM00057957,25.3333,110.3,166.0,GUILIN,2025
CHM00057972,25.7353,112.9739,368.8,CHENZHOU,2025
CHM00057993,25.8667,115.0,134.0,GANZHOU,2025
CHM00058027,34.2833,117.15,42.0,XUZHOU,2025
CHM00058150,33.75,120.3,3.0,SHEYANG,2025
CHM00058203,32.8667,115.7333,33.0,FUYANG,2025
CHM00058238,31.9333,118.9,32.0,NANJING,2025
CHM00058362,31.4167,121.45,9.0,SHANGHAI (BAOSHAN),2025
CHM00058424,30.6167,116.9667,62.0,ANQING,2025
CHM00058457,30.2333,120.1667,43.0,HANGZHOU,2025
CHM00058606,28.6,115.9167,50.0,NANCHANG,2025
CHM00058633,28.9667,118.8667,82.9,QU XIAN,2025
CHM00058665,28.6167,121.4167,2.0,HONGJIA,2025
CHM00058725,27.3333,117.4667,219.0,SHAOWU,2025
CHM00058847,26.0833,119.2833,85.0,FUZHOU,2025
CHM00059023,24.7,108.0333,261.0,HECHI,2025
CHM00059134,24.4833,118.0833,139.0,XIAMEN,2025
CHM00059211,23.9,106.6,177.0,BAISE,2025
CHM00059265,23.4833,111.3,120.0,WUZHOU,2025
