,station_id,latitude,longitude,elevation,station_name,start_year,end_year
681,COM00080210,4.8167,-75.7333,1342.0,PEREIRA/MATECANA,2018,2019
682,COM00080222,4.7,-74.15,2547.0,BOGOTA/ELDORADO,1960,2025
684,COM00080259,3.55,-76.3833,961.0,CALI/ALFONSO BONILLA ARAGON,2016,2025
686,COM00080398,-4.1667,-69.95,84.0,LETICIA/VASQUEZ COBO,1986,2025
688,CSM00078762,9.9833,-84.1833,908.0,JUAN SANTAMARIA INT. AIRPORT,1972,2021
692,CTM00064650,4.4,18.5167,365.0,BANGUI,1950,2019
701,CVM00008594,16.7419,-22.9489,54.1,SAL,1950,2017
705,CWM00091843,-21.2,-159.8167,7.0,RAROTONGA,1968,2016
706,CYM00017600,34.7194,32.4847,8.4,PAPHOS AP,1973,2025
709,CYM00017607,35.1408,33.3964,162.0,ATHALASSA,1949,2025
710,CYM00017609,34.8733,33.6172,9.8,LARNACA AIRPORT,1978,2025
713,DAM00006060,56.2933,9.1139,52.1,FLYVESTATION KARUP,1999,2024
718,DRM00078486,18.4333,-69.8833,14.0,SANTO DOMINGO,1962,2025
719,ECM00084008,-0.9,-89.6,8.0,SAN CRISTOBAL RADIOSONDA,1967,2018
721,ECM00084132,-0.9169,-75.4031,190.0,NUEVO ROCAFUERTE,2015,2016
722,ECM00084203,-2.1581,-79.8839,6.0,GUAYAQUIL AEROPUERTO,1957,2021
724,EGM00062306,31.3253,27.2217,29.0,MERSA MATRUH,1934,2025
727,EGM00062337,31.0733,33.8358,36.9,EL ARISH,1950,2023
729,EGM00062378,29.8628,31.3492,139.3,HELWAN,1920,2025
731,EGM00062403,26.2003,32.7467,96.0,SOUTH OF VALLEY UNIVERSITY,2003,2025
733,EGM00062414,23.9644,32.82,201.8,ASSWAN,1936,2025
736,EGM00062423,27.0583,27.9892,82.2,FARAFRA,1953,2023
748,EIM00003953,51.9381,-10.2433,23.9,VALENTIA OBSERVATORY,1949,2025
749,ENM00026038,59.3981,24.6028,32.9,TALLINN-HARKU,1947,2025
753,ETM00063450,9.0333,38.75,2354.0,ADDIS ABABA-BOLE,1958,2021
757,EZM00011520,50.0078,14.4469,302.0,PRAHA-LIBUS,1969,2025
759,EZM00011747,49.4525,17.1347,214.8,PROSTEJOV,2003,2025
761,FGM00081405,4.8222,-52.3653,8.0,CAYENNE MATOURY,1953,2025
764,FIM00002836,67.3667,26.6289,179.0,SODANKYLA ARCTIC RESEARCH CENT,1920,2025
765,FIM00002935,62.3975,25.6708,139.0,JYVASKYLA AIRPORT,1957,2016
766,FIM00002963,60.8139,23.4975,104.0,JOKIOINEN OBSERVATORY,1957,2025
776,FJM00091680,-17.75,177.45,13.0,NADI AIRPORT,1949,2025
777,FKM00088889,-51.82,-58.4481,74.0,MOUNT PLEASANT AIRPORT,1990,2025
780,FMM00091334,7.45,151.8333,3.0,TRUK/CAROLINE IS.,1951,2025
781,FMM00091348,6.95,158.2,38.0,PONAPE/CAROLINE IS.,1950,2025
783,FMM00091413,9.4833,138.0667,15.0,YAP/CAROLINE IS.,1949,2025
785,FOM00006011,62.0231,-6.7647,54.0,TORSHAVN,1949,2025
787,FPM00091925,-9.8061,-139.0356,51.0,HIVA-OA,1968,2025
791,FPM00091938,-17.5553,-149.6145,2.0,TAHITI-FAAA,1957,2025
797,FPM00091948,-23.1303,-134.9653,91.0,MANGAREVA,1970,2024
800,FPM00091958,-27.6183,-144.3347,2.0,RAPA,1967,2025
803,FRM00007110,48.4442,-4.4119,99.0,BREST-GUIPAVAS,1940,2025
805,FRM00007145,48.7744,2.0097,167.0,TRAPPES,1949,2025
817,FRM00007510,44.8306,-0.6914,51.0,BORDEAUX MERIGNAC,1920,2025
824,FRM00007645,43.8569,4.4064,60.0,NIMES-COURBESSAC,1949,2025
827,FRM00007761,41.9181,8.7928,6.0,AJACCIO,1951,2025
